Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Bihor, 26699 ORAS ALESD, Anul 2026, Numar persoane, 570
65-69 ani, Total, Bihor, 26920 ORAS NUCET, Anul 2026, Numar persoane, 141
65-69 ani, Total, Bihor, 30915 ORAS SACUENI, Anul 2026, Numar persoane, 537
65-69 ani, Total, Bihor, 26840 ORAS STEI, Anul 2026, Numar persoane, 558
65-69 ani, Total, Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 2026, Numar persoane, 574
65-69 ani, Total, Bihor, 27007 ORAS VASCAU, Anul 2026, Numar persoane, 157
65-69 ani, Total, Bihor, 27070 ABRAM, Anul 2026, Numar persoane, 157
65-69 ani, Total, Bihor, 26742 ASTILEU, Anul 2026, Numar persoane, 212
65-69 ani, Total, Bihor, 27212 AUSEU, Anul 2026, Numar persoane, 154
65-69 ani, Total, Bihor, 27285 AVRAM IANCU, Anul 2026, Numar persoane, 163
65-69 ani, Total, Bihor, 27329 BALC, Anul 2026, Numar persoane, 135
65-69 ani, Total, Bihor, 27383 BATAR, Anul 2026, Numar persoane, 221
65-69 ani, Total, Bihor, 27436 BIHARIA, Anul 2026, Numar persoane, 299
65-69 ani, Total, Bihor, 27506 BOIANU MARE, Anul 2026, Numar persoane, 61
65-69 ani, Total, Bihor, 27560 BOROD, Anul 2026, Numar persoane, 167
65-69 ani, Total, Bihor, 27631 BORS, Anul 2026, Numar persoane, 263
65-69 ani, Total, Bihor, 27686 BRATCA, Anul 2026, Numar persoane, 243
65-69 ani, Total, Bihor, 27757 BRUSTURI, Anul 2026, Numar persoane, 186
65-69 ani, Total, Bihor, 27846 BUDUREASA, Anul 2026, Numar persoane, 157
65-69 ani, Total, Bihor, 27908 BUDUSLAU, Anul 2026, Numar persoane, 86
65-69 ani, Total, Bihor, 27935 BULZ, Anul 2026, Numar persoane, 141
65-69 ani, Total, Bihor, 27971 BUNTESTI, Anul 2026, Numar persoane, 316
65-69 ani, Total, Bihor, 28077 CABESTI, Anul 2026, Numar persoane, 102
65-69 ani, Total, Bihor, 28709 CAMPANI, Anul 2026, Numar persoane, 177
65-69 ani, Total, Bihor, 28139 CAPALNA, Anul 2026, Numar persoane, 98
65-69 ani, Total, Bihor, 28193 CARPINET, Anul 2026, Numar persoane, 111
65-69 ani, Total, Bihor, 28246 CEFA, Anul 2026, Numar persoane, 107
65-69 ani, Total, Bihor, 28335 CEICA, Anul 2026, Numar persoane, 179
65-69 ani, Total, Bihor, 28415 CETARIU, Anul 2026, Numar persoane, 121
65-69 ani, Total, Bihor, 28497 CHERECHIU, Anul 2026, Numar persoane, 89
65-69 ani, Total, Bihor, 28530 CHISLAZ, Anul 2026, Numar persoane, 148
65-69 ani, Total, Bihor, 28665 CIUMEGHIU, Anul 2026, Numar persoane, 172
65-69 ani, Total, Bihor, 28763 COCIUBA MARE, Anul 2026, Numar persoane, 138
65-69 ani, Total, Bihor, 28816 COPACEL, Anul 2026, Numar persoane, 108
65-69 ani, Total, Bihor, 28889 CRISTIORU DE JOS, Anul 2026, Numar persoane, 84
65-69 ani, Total, Bihor, 28941 CURATELE, Anul 2026, Numar persoane, 156
65-69 ani, Total, Bihor, 29001 CURTUISENI, Anul 2026, Numar persoane, 157
65-69 ani, Total, Bihor, 29038 DERNA, Anul 2026, Numar persoane, 114
65-69 ani, Total, Bihor, 29092 DIOSIG, Anul 2026, Numar persoane, 293
65-69 ani, Total, Bihor, 29154 DOBRESTI, Anul 2026, Numar persoane, 224
65-69 ani, Total, Bihor, 29243 DRAGANESTI, Anul 2026, Numar persoane, 176
65-69 ani, Total, Bihor, 29341 DRAGESTI, Anul 2026, Numar persoane, 87
65-69 ani, Total, Bihor, 29403 FINIS, Anul 2026, Numar persoane, 191
65-69 ani, Total, Bihor, 29467 GIRISU DE CRIS, Anul 2026, Numar persoane, 218
65-69 ani, Total, Bihor, 32195 GEPIU, Anul 2026, Numar persoane, 92
65-69 ani, Total, Bihor, 29519 HIDISELU DE SUS, Anul 2026, Numar persoane, 165
65-69 ani, Total, Bihor, 29573 HOLOD, Anul 2026, Numar persoane, 146
65-69 ani, Total, Bihor, 29662 HUSASAU DE TINCA, Anul 2026, Numar persoane, 106
65-69 ani, Total, Bihor, 29724 INEU, Anul 2026, Numar persoane, 194
65-69 ani, Total, Bihor, 29813 LAZARENI, Anul 2026, Numar persoane, 143
65-69 ani, Total, Bihor, 29760 LAZURI DE BEIUS, Anul 2026, Numar persoane, 108
65-69 ani, Total, Bihor, 29902 LUGASU DE JOS, Anul 2026, Numar persoane, 164
65-69 ani, Total, Bihor, 29948 LUNCA, Anul 2026, Numar persoane, 204
65-69 ani, Total, Bihor, 30014 MADARAS, Anul 2026, Numar persoane, 134
65-69 ani, Total, Bihor, 30069 MAGESTI, Anul 2026, Numar persoane, 127
65-69 ani, Total, Bihor, 30149 NOJORID, Anul 2026, Numar persoane, 338
65-69 ani, Total, Bihor, 30229 OLCEA, Anul 2026, Numar persoane, 114
65-69 ani, Total, Bihor, 30274 OSORHEI, Anul 2026, Numar persoane, 353
65-69 ani, Total, Bihor, 27169 PETREU, Anul 2026, Numar persoane, 136
65-69 ani, Total, Bihor, 32161 PALEU, Anul 2026, Numar persoane, 167
65-69 ani, Total, Bihor, 30336 PIETROASA, Anul 2026, Numar persoane, 217
65-69 ani, Total, Bihor, 30416 POCOLA, Anul 2026, Numar persoane, 79
65-69 ani, Total, Bihor, 30470 POMEZEU, Anul 2026, Numar persoane, 128
65-69 ani, Total, Bihor, 30568 POPESTI, Anul 2026, Numar persoane, 468
65-69 ani, Total, Bihor, 30648 RABAGANI, Anul 2026, Numar persoane, 95
65-69 ani, Total, Bihor, 30719 REMETEA, Anul 2026, Numar persoane, 181
65-69 ani, Total, Bihor, 30773 RIENI, Anul 2026, Numar persoane, 194
65-69 ani, Total, Bihor, 30844 ROSIA, Anul 2026, Numar persoane, 130
65-69 ani, Total, Bihor, 32187 ROSIORI, Anul 2026, Numar persoane, 150
65-69 ani, Total, Bihor, 30871 SACADAT, Anul 2026, Numar persoane, 94
65-69 ani, Total, Bihor, 30988 SALACEA, Anul 2026, Numar persoane, 148
65-69 ani, Total, Bihor, 31011 SALARD, Anul 2026, Numar persoane, 213
65-69 ani, Total, Bihor, 31057 SAMBATA, Anul 2026, Numar persoane, 52
65-69 ani, Total, Bihor, 28610 SANIOB, Anul 2026, Numar persoane, 97
65-69 ani, Total, Bihor, 26582 SANMARTIN, Anul 2026, Numar persoane, 662
65-69 ani, Total, Bihor, 32179 SANNICOLAU ROMAN, Anul 2026, Numar persoane, 89
65-69 ani, Total, Bihor, 26653 SANTANDREI, Anul 2026, Numar persoane, 421
65-69 ani, Total, Bihor, 31128 SARBI, Anul 2026, Numar persoane, 114
65-69 ani, Total, Bihor, 31333 SIMIAN, Anul 2026, Numar persoane, 181
65-69 ani, Total, Bihor, 31379 SINTEU, Anul 2026, Numar persoane, 58
65-69 ani, Total, Bihor, 31422 SOIMI, Anul 2026, Numar persoane, 120
65-69 ani, Total, Bihor, 31208 SPINUS, Anul 2026, Numar persoane, 48
65-69 ani, Total, Bihor, 31510 SUNCUIUS, Anul 2026, Numar persoane, 164
65-69 ani, Total, Bihor, 31262 SUPLACU DE BARCAU, Anul 2026, Numar persoane, 248
65-69 ani, Total, Bihor, 32153 TAMASEU, Anul 2026, Numar persoane, 106
65-69 ani, Total, Bihor, 31609 TARCAIA, Anul 2026, Numar persoane, 142
65-69 ani, Total, Bihor, 31565 TARCEA, Anul 2026, Numar persoane, 105
65-69 ani, Total, Bihor, 31654 TAUTEU, Anul 2026, Numar persoane, 183
65-69 ani, Total, Bihor, 31878 TETCHEA, Anul 2026, Numar persoane, 162
65-69 ani, Total, Bihor, 31716 TILEAGD, Anul 2026, Numar persoane, 360
65-69 ani, Total, Bihor, 31789 TINCA, Anul 2026, Numar persoane, 344
65-69 ani, Total, Bihor, 32201 TOBOLIU, Anul 2026, Numar persoane, 134
65-69 ani, Total, Bihor, 31841 TULCA, Anul 2026, Numar persoane, 149
65-69 ani, Total, Bihor, 31921 UILEACU DE BEIUS, Anul 2026, Numar persoane, 118
65-69 ani, Total, Bihor, 31976 VADU CRISULUI, Anul 2026, Numar persoane, 223
65-69 ani, Total, Bihor, 32090 VARCIOROG, Anul 2026, Numar persoane, 104
65-69 ani, Total, Bihor, 32045 VIISOARA, Anul 2026, Numar persoane, 68
70-74 ani, Total, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2026, Numar persoane, 12400
70-74 ani, Total, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2026, Numar persoane, 653
70-74 ani, Total, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2026, Numar persoane, 956
70-74 ani, Total, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2026, Numar persoane, 1057
70-74 ani, Total, Bihor, 26699 ORAS ALESD, Anul 2026, Numar persoane, 556
70-74 ani, Total, Bihor, 26920 ORAS NUCET, Anul 2026, Numar persoane, 115
70-74 ani, Total, Bihor, 30915 ORAS SACUENI, Anul 2026, Numar persoane, 482
70-74 ani, Total, Bihor, 26840 ORAS STEI, Anul 2026, Numar persoane, 384
70-74 ani, Total, Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 2026, Numar persoane, 478
70-74 ani, Total, Bihor, 27007 ORAS VASCAU, Anul 2026, Numar persoane, 173
70-74 ani, Total, Bihor, 27070 ABRAM, Anul 2026, Numar persoane, 140
70-74 ani, Total, Bihor, 26742 ASTILEU, Anul 2026, Numar persoane, 178
70-74 ani, Total, Bihor, 27212 AUSEU, Anul 2026, Numar persoane, 146
70-74 ani, Total, Bihor, 27285 AVRAM IANCU, Anul 2026, Numar persoane, 134
70-74 ani, Total, Bihor, 27329 BALC, Anul 2026, Numar persoane, 132
