Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
70-74 ani, Total, Alba, 5700 MIHALT, Anul 2026, Numar persoane, 198
70-74 ani, Total, Alba, 5755 MIRASLAU, Anul 2026, Numar persoane, 112
70-74 ani, Total, Alba, 5826 MOGOS, Anul 2026, Numar persoane, 49
70-74 ani, Total, Alba, 6048 NOSLAC, Anul 2026, Numar persoane, 115
70-74 ani, Total, Alba, 6119 OCOLIS, Anul 2026, Numar persoane, 36
70-74 ani, Total, Alba, 6164 OHABA, Anul 2026, Numar persoane, 26
70-74 ani, Total, Alba, 6217 PIANU, Anul 2026, Numar persoane, 209
70-74 ani, Total, Alba, 6271 POIANA VADULUI, Anul 2026, Numar persoane, 50
70-74 ani, Total, Alba, 6397 PONOR, Anul 2026, Numar persoane, 27
70-74 ani, Total, Alba, 6468 POSAGA, Anul 2026, Numar persoane, 61
70-74 ani, Total, Alba, 6547 RADESTI, Anul 2026, Numar persoane, 92
70-74 ani, Total, Alba, 6627 RAMET, Anul 2026, Numar persoane, 32
70-74 ani, Total, Alba, 6592 RAMETEA, Anul 2026, Numar persoane, 76
70-74 ani, Total, Alba, 6930 ROSIA DE SECAS, Anul 2026, Numar persoane, 59
70-74 ani, Total, Alba, 6761 ROSIA MONTANA, Anul 2026, Numar persoane, 123
70-74 ani, Total, Alba, 6976 SALCIUA, Anul 2026, Numar persoane, 80
70-74 ani, Total, Alba, 7044 SALISTEA, Anul 2026, Numar persoane, 129
70-74 ani, Total, Alba, 7348 SANCEL, Anul 2026, Numar persoane, 115
70-74 ani, Total, Alba, 7384 SANTIMBRU, Anul 2026, Numar persoane, 154
70-74 ani, Total, Alba, 7099 SASCIORI, Anul 2026, Numar persoane, 271
70-74 ani, Total, Alba, 7197 SCARISOARA, Anul 2026, Numar persoane, 64
70-74 ani, Total, Alba, 7810 SIBOT, Anul 2026, Numar persoane, 133
70-74 ani, Total, Alba, 7446 SOHODOL, Anul 2026, Numar persoane, 103
70-74 ani, Total, Alba, 7865 SONA, Anul 2026, Numar persoane, 213
