Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Buzau, 45539 BRAESTI, Anul 2026, Numar persoane, 105
65-69 ani, Total, Buzau, 45619 BREAZA, Anul 2026, Numar persoane, 119
65-69 ani, Total, Buzau, 45673 BUDA, Anul 2026, Numar persoane, 137
65-69 ani, Total, Buzau, 45815 C.A. ROSETTI, Anul 2026, Numar persoane, 159
65-69 ani, Total, Buzau, 45753 CALVINI, Anul 2026, Numar persoane, 176
65-69 ani, Total, Buzau, 45888 CANESTI, Anul 2026, Numar persoane, 26
65-69 ani, Total, Buzau, 45959 CATINA, Anul 2026, Numar persoane, 110
65-69 ani, Total, Buzau, 46019 CERNATESTI, Anul 2026, Numar persoane, 220
65-69 ani, Total, Buzau, 46108 CHILIILE, Anul 2026, Numar persoane, 28
65-69 ani, Total, Buzau, 46180 CHIOJDU, Anul 2026, Numar persoane, 163
65-69 ani, Total, Buzau, 46251 CILIBIA, Anul 2026, Numar persoane, 75
65-69 ani, Total, Buzau, 46313 CISLAU, Anul 2026, Numar persoane, 253
65-69 ani, Total, Buzau, 46377 COCHIRLEANCA, Anul 2026, Numar persoane, 245
65-69 ani, Total, Buzau, 46439 COLTI, Anul 2026, Numar persoane, 56
65-69 ani, Total, Buzau, 46484 COSTESTI, Anul 2026, Numar persoane, 302
65-69 ani, Total, Buzau, 46554 COZIENI, Anul 2026, Numar persoane, 98
65-69 ani, Total, Buzau, 50564 FLORICA, Anul 2026, Numar persoane, 72
65-69 ani, Total, Buzau, 46769 GALBINASI, Anul 2026, Numar persoane, 262
65-69 ani, Total, Buzau, 46803 GHERASENI, Anul 2026, Numar persoane, 202
65-69 ani, Total, Buzau, 46830 GHERGHEASA, Anul 2026, Numar persoane, 94
65-69 ani, Total, Buzau, 46867 GLODEANU SARAT, Anul 2026, Numar persoane, 174
65-69 ani, Total, Buzau, 46910 GLODEANU-SILISTEA, Anul 2026, Numar persoane, 149
65-69 ani, Total, Buzau, 47006 GREBANU, Anul 2026, Numar persoane, 295
65-69 ani, Total, Buzau, 47079 GURA TEGHII, Anul 2026, Numar persoane, 184
65-69 ani, Total, Buzau, 47159 LARGU, Anul 2026, Numar persoane, 65
65-69 ani, Total, Buzau, 47186 LOPATARI, Anul 2026, Numar persoane, 180
65-69 ani, Total, Buzau, 47300 LUCIU, Anul 2026, Numar persoane, 117
65-69 ani, Total, Buzau, 47337 MAGURA, Anul 2026, Numar persoane, 121
65-69 ani, Total, Buzau, 47630 MANZALESTI, Anul 2026, Numar persoane, 124
65-69 ani, Total, Buzau, 47373 MARACINENI, Anul 2026, Numar persoane, 533
65-69 ani, Total, Buzau, 47417 MARGARITESTI, Anul 2026, Numar persoane, 31
65-69 ani, Total, Buzau, 47453 MEREI, Anul 2026, Numar persoane, 382
65-69 ani, Total, Buzau, 47578 MIHAILESTI, Anul 2026, Numar persoane, 91
65-69 ani, Total, Buzau, 47774 MOVILA BANULUI, Anul 2026, Numar persoane, 123
65-69 ani, Total, Buzau, 47818 MURGESTI, Anul 2026, Numar persoane, 35
65-69 ani, Total, Buzau, 47854 NAENI, Anul 2026, Numar persoane, 66
65-69 ani, Total, Buzau, 48021 ODAILE, Anul 2026, Numar persoane, 46
65-69 ani, Total, Buzau, 48138 PADINA, Anul 2026, Numar persoane, 175
65-69 ani, Total, Buzau, 48227 PANATAU, Anul 2026, Numar persoane, 115
65-69 ani, Total, Buzau, 48165 PARDOSI, Anul 2026, Numar persoane, 15
