Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Neamt, 125123 VALENI, Anul 2026, Numar persoane, 55
65-69 ani, Total, Neamt, 125016 VANATORI-NEAMT, Anul 2026, Numar persoane, 493
65-69 ani, Total, Neamt, 125061 ZANESTI, Anul 2026, Numar persoane, 299
70-74 ani, Total, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2026, Numar persoane, 7615
70-74 ani, Total, Neamt, 120860 MUNICIPIUL ROMAN, Anul 2026, Numar persoane, 3803
70-74 ani, Total, Neamt, 120968 ORAS BICAZ, Anul 2026, Numar persoane, 463
70-74 ani, Total, Neamt, 124117 ORAS ROZNOV, Anul 2026, Numar persoane, 424
70-74 ani, Total, Neamt, 121055 ORAS TARGU NEAMT, Anul 2026, Numar persoane, 1098
70-74 ani, Total, Neamt, 121108 AGAPIA, Anul 2026, Numar persoane, 210
70-74 ani, Total, Neamt, 124938 ALEXANDRU CEL BUN, Anul 2026, Numar persoane, 337
70-74 ani, Total, Neamt, 121153 BAHNA, Anul 2026, Numar persoane, 96
70-74 ani, Total, Neamt, 121242 BALTATESTI, Anul 2026, Numar persoane, 181
70-74 ani, Total, Neamt, 121466 BARGAUANI, Anul 2026, Numar persoane, 121
70-74 ani, Total, Neamt, 121297 BICAZ-CHEI, Anul 2026, Numar persoane, 195
70-74 ani, Total, Neamt, 121340 BICAZU ARDELEAN, Anul 2026, Numar persoane, 176
70-74 ani, Total, Neamt, 121386 BIRA, Anul 2026, Numar persoane, 55
70-74 ani, Total, Neamt, 121607 BODESTI, Anul 2026, Numar persoane, 227
70-74 ani, Total, Neamt, 125178 BOGHICEA, Anul 2026, Numar persoane, 88
70-74 ani, Total, Neamt, 121652 BORCA, Anul 2026, Numar persoane, 245
70-74 ani, Total, Neamt, 121732 BORLESTI, Anul 2026, Numar persoane, 390
70-74 ani, Total, Neamt, 121796 BOTESTI, Anul 2026, Numar persoane, 171
70-74 ani, Total, Neamt, 121876 BOZIENI, Anul 2026, Numar persoane, 88
70-74 ani, Total, Neamt, 121938 BRUSTURI, Anul 2026, Numar persoane, 142
70-74 ani, Total, Neamt, 122061 CANDESTI, Anul 2026, Numar persoane, 127
70-74 ani, Total, Neamt, 122025 CEAHLAU, Anul 2026, Numar persoane, 121
70-74 ani, Total, Neamt, 120888 CORDUN, Anul 2026, Numar persoane, 312
70-74 ani, Total, Neamt, 122132 COSTISA, Anul 2026, Numar persoane, 146
70-74 ani, Total, Neamt, 122187 CRACAOANI, Anul 2026, Numar persoane, 177
70-74 ani, Total, Neamt, 122249 DAMUC, Anul 2026, Numar persoane, 134
70-74 ani, Total, Neamt, 122285 DOBRENI, Anul 2026, Numar persoane, 88
70-74 ani, Total, Neamt, 125098 DOCHIA, Anul 2026, Numar persoane, 103
70-74 ani, Total, Neamt, 122347 DOLJESTI, Anul 2026, Numar persoane, 215
70-74 ani, Total, Neamt, 125132 DRAGANESTI, Anul 2026, Numar persoane, 76
70-74 ani, Total, Neamt, 122392 DRAGOMIRESTI, Anul 2026, Numar persoane, 80
70-74 ani, Total, Neamt, 122463 DULCESTI, Anul 2026, Numar persoane, 107
70-74 ani, Total, Neamt, 120771 DUMBRAVA ROSIE, Anul 2026, Numar persoane, 396
70-74 ani, Total, Neamt, 122551 FARCASA, Anul 2026, Numar persoane, 124
70-74 ani, Total, Neamt, 122613 FAUREI, Anul 2026, Numar persoane, 91
70-74 ani, Total, Neamt, 125150 GADINTI, Anul 2026, Numar persoane, 102
70-74 ani, Total, Neamt, 122828 GARCINA, Anul 2026, Numar persoane, 192
70-74 ani, Total, Neamt, 122668 GHERAESTI, Anul 2026, Numar persoane, 239
70-74 ani, Total, Neamt, 125114 GHINDAOANI, Anul 2026, Numar persoane, 100
70-74 ani, Total, Neamt, 122702 GIROV, Anul 2026, Numar persoane, 242
70-74 ani, Total, Neamt, 122864 GRINTIES, Anul 2026, Numar persoane, 134
70-74 ani, Total, Neamt, 122908 GRUMAZESTI, Anul 2026, Numar persoane, 227
70-74 ani, Total, Neamt, 122953 HANGU, Anul 2026, Numar persoane, 161
70-74 ani, Total, Neamt, 120922 HORIA, Anul 2026, Numar persoane, 326
70-74 ani, Total, Neamt, 123013 ICUSESTI, Anul 2026, Numar persoane, 174
70-74 ani, Total, Neamt, 123102 ION CREANGA, Anul 2026, Numar persoane, 224
70-74 ani, Total, Neamt, 123175 MARGINENI, Anul 2026, Numar persoane, 156
70-74 ani, Total, Neamt, 123228 MOLDOVENI, Anul 2026, Numar persoane, 84
70-74 ani, Total, Neamt, 125169 NEGRESTI, Anul 2026, Numar persoane, 79
70-74 ani, Total, Neamt, 123255 ONICENI, Anul 2026, Numar persoane, 96
70-74 ani, Total, Neamt, 125141 PANCESTI, Anul 2026, Numar persoane, 57
70-74 ani, Total, Neamt, 123601 PANGARATI, Anul 2026, Numar persoane, 263
70-74 ani, Total, Neamt, 123371 PASTRAVENI, Anul 2026, Numar persoane, 132
70-74 ani, Total, Neamt, 123424 PETRICANI, Anul 2026, Numar persoane, 183
70-74 ani, Total, Neamt, 123479 PIATRA SOIMULUI, Anul 2026, Numar persoane, 371
70-74 ani, Total, Neamt, 123521 PIPIRIG, Anul 2026, Numar persoane, 353
70-74 ani, Total, Neamt, 123674 PODOLENI, Anul 2026, Numar persoane, 219
70-74 ani, Total, Neamt, 123790 POIANA TEIULUI, Anul 2026, Numar persoane, 213
70-74 ani, Total, Neamt, 123709 POIENARI, Anul 2026, Numar persoane, 58
70-74 ani, Total, Neamt, 123914 RAUCESTI, Anul 2026, Numar persoane, 284
70-74 ani, Total, Neamt, 123969 RAZBOIENI, Anul 2026, Numar persoane, 87
70-74 ani, Total, Neamt, 124028 REDIU, Anul 2026, Numar persoane, 217
70-74 ani, Total, Neamt, 124073 ROMANI, Anul 2026, Numar persoane, 155
70-74 ani, Total, Neamt, 125105 RUGINOASA, Anul 2026, Numar persoane, 102
70-74 ani, Total, Neamt, 124206 SABAOANI, Anul 2026, Numar persoane, 353
70-74 ani, Total, Neamt, 124153 SAGNA, Anul 2026, Numar persoane, 181
70-74 ani, Total, Neamt, 120824 SAVINESTI, Anul 2026, Numar persoane, 344
70-74 ani, Total, Neamt, 124233 SECUIENI, Anul 2026, Numar persoane, 140
70-74 ani, Total, Neamt, 124331 STANITA, Anul 2026, Numar persoane, 59
70-74 ani, Total, Neamt, 124411 STEFAN CEL MARE, Anul 2026, Numar persoane, 131
70-74 ani, Total, Neamt, 124634 TAMASENI, Anul 2026, Numar persoane, 264
70-74 ani, Total, Neamt, 124493 TARCAU, Anul 2026, Numar persoane, 163
70-74 ani, Total, Neamt, 124563 TASCA, Anul 2026, Numar persoane, 135
70-74 ani, Total, Neamt, 124616 TAZLAU, Anul 2026, Numar persoane, 113
70-74 ani, Total, Neamt, 124803 TIBUCANI, Anul 2026, Numar persoane, 150
70-74 ani, Total, Neamt, 124661 TIMISESTI, Anul 2026, Numar persoane, 160
70-74 ani, Total, Neamt, 124723 TRIFESTI, Anul 2026, Numar persoane, 212
70-74 ani, Total, Neamt, 124750 TUPILATI, Anul 2026, Numar persoane, 94
70-74 ani, Total, Neamt, 124849 URECHENI, Anul 2026, Numar persoane, 137
70-74 ani, Total, Neamt, 124885 VALEA URSULUI, Anul 2026, Numar persoane, 131
70-74 ani, Total, Neamt, 125123 VALENI, Anul 2026, Numar persoane, 46
70-74 ani, Total, Neamt, 125016 VANATORI-NEAMT, Anul 2026, Numar persoane, 362
70-74 ani, Total, Neamt, 125061 ZANESTI, Anul 2026, Numar persoane, 286
75-79 ani, Total, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2026, Numar persoane, 4794
75-79 ani, Total, Neamt, 120860 MUNICIPIUL ROMAN, Anul 2026, Numar persoane, 2343
75-79 ani, Total, Neamt, 120968 ORAS BICAZ, Anul 2026, Numar persoane, 264
75-79 ani, Total, Neamt, 124117 ORAS ROZNOV, Anul 2026, Numar persoane, 285
75-79 ani, Total, Neamt, 121055 ORAS TARGU NEAMT, Anul 2026, Numar persoane, 742
75-79 ani, Total, Neamt, 121108 AGAPIA, Anul 2026, Numar persoane, 159
75-79 ani, Total, Neamt, 124938 ALEXANDRU CEL BUN, Anul 2026, Numar persoane, 198
75-79 ani, Total, Neamt, 121153 BAHNA, Anul 2026, Numar persoane, 126
75-79 ani, Total, Neamt, 121242 BALTATESTI, Anul 2026, Numar persoane, 162
75-79 ani, Total, Neamt, 121466 BARGAUANI, Anul 2026, Numar persoane, 149
75-79 ani, Total, Neamt, 121297 BICAZ-CHEI, Anul 2026, Numar persoane, 128
75-79 ani, Total, Neamt, 121340 BICAZU ARDELEAN, Anul 2026, Numar persoane, 142
75-79 ani, Total, Neamt, 121386 BIRA, Anul 2026, Numar persoane, 54
75-79 ani, Total, Neamt, 121607 BODESTI, Anul 2026, Numar persoane, 199
75-79 ani, Total, Neamt, 125178 BOGHICEA, Anul 2026, Numar persoane, 61
75-79 ani, Total, Neamt, 121652 BORCA, Anul 2026, Numar persoane, 221
75-79 ani, Total, Neamt, 121732 BORLESTI, Anul 2026, Numar persoane, 296
75-79 ani, Total, Neamt, 121796 BOTESTI, Anul 2026, Numar persoane, 147
75-79 ani, Total, Neamt, 121876 BOZIENI, Anul 2026, Numar persoane, 84
75-79 ani, Total, Neamt, 121938 BRUSTURI, Anul 2026, Numar persoane, 127
75-79 ani, Total, Neamt, 122061 CANDESTI, Anul 2026, Numar persoane, 151
75-79 ani, Total, Neamt, 122025 CEAHLAU, Anul 2026, Numar persoane, 94
75-79 ani, Total, Neamt, 120888 CORDUN, Anul 2026, Numar persoane, 243
75-79 ani, Total, Neamt, 122132 COSTISA, Anul 2026, Numar persoane, 102
75-79 ani, Total, Neamt, 122187 CRACAOANI, Anul 2026, Numar persoane, 147
75-79 ani, Total, Neamt, 122249 DAMUC, Anul 2026, Numar persoane, 131
75-79 ani, Total, Neamt, 122285 DOBRENI, Anul 2026, Numar persoane, 69
75-79 ani, Total, Neamt, 125098 DOCHIA, Anul 2026, Numar persoane, 97
75-79 ani, Total, Neamt, 122347 DOLJESTI, Anul 2026, Numar persoane, 180
75-79 ani, Total, Neamt, 125132 DRAGANESTI, Anul 2026, Numar persoane, 47
75-79 ani, Total, Neamt, 122392 DRAGOMIRESTI, Anul 2026, Numar persoane, 75
75-79 ani, Total, Neamt, 122463 DULCESTI, Anul 2026, Numar persoane, 100
75-79 ani, Total, Neamt, 120771 DUMBRAVA ROSIE, Anul 2026, Numar persoane, 262
75-79 ani, Total, Neamt, 122551 FARCASA, Anul 2026, Numar persoane, 115
