Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
75-79 ani, Total, Tulcea, 160092 CEAMURLIA DE JOS, Anul 2026, Numar persoane, 68
75-79 ani, Total, Tulcea, 160047 CEATALCHIOI, Anul 2026, Numar persoane, 38
75-79 ani, Total, Tulcea, 160127 CERNA, Anul 2026, Numar persoane, 139
75-79 ani, Total, Tulcea, 160172 CHILIA VECHE, Anul 2026, Numar persoane, 77
75-79 ani, Total, Tulcea, 160225 CIUCUROVA, Anul 2026, Numar persoane, 65
75-79 ani, Total, Tulcea, 160261 CRISAN, Anul 2026, Numar persoane, 30
75-79 ani, Total, Tulcea, 160305 DAENI, Anul 2026, Numar persoane, 91
75-79 ani, Total, Tulcea, 160323 DOROBANTU, Anul 2026, Numar persoane, 47
75-79 ani, Total, Tulcea, 160387 FRECATEI, Anul 2026, Numar persoane, 151
75-79 ani, Total, Tulcea, 160430 GRECI, Anul 2026, Numar persoane, 170
75-79 ani, Total, Tulcea, 160458 GRINDU, Anul 2026, Numar persoane, 35
75-79 ani, Total, Tulcea, 160476 HAMCEARCA, Anul 2026, Numar persoane, 43
75-79 ani, Total, Tulcea, 160528 HORIA, Anul 2026, Numar persoane, 50
75-79 ani, Total, Tulcea, 161525 I.C.BRATIANU, Anul 2026, Numar persoane, 55
75-79 ani, Total, Tulcea, 160564 IZVOARELE, Anul 2026, Numar persoane, 111
75-79 ani, Total, Tulcea, 160617 JIJILA, Anul 2026, Numar persoane, 178
75-79 ani, Total, Tulcea, 160644 JURILOVCA, Anul 2026, Numar persoane, 186
75-79 ani, Total, Tulcea, 160680 LUNCAVITA, Anul 2026, Numar persoane, 167
75-79 ani, Total, Tulcea, 160724 MAHMUDIA, Anul 2026, Numar persoane, 88
75-79 ani, Total, Tulcea, 160779 MALIUC, Anul 2026, Numar persoane, 24
75-79 ani, Total, Tulcea, 160831 MIHAI BRAVU, Anul 2026, Numar persoane, 89
75-79 ani, Total, Tulcea, 160877 MIHAIL KOGALNICEANU, Anul 2026, Numar persoane, 91
75-79 ani, Total, Tulcea, 160911 MURIGHIOL, Anul 2026, Numar persoane, 112
75-79 ani, Total, Tulcea, 160993 NALBANT, Anul 2026, Numar persoane, 82
75-79 ani, Total, Tulcea, 161035 NICULITEL, Anul 2026, Numar persoane, 157
75-79 ani, Total, Tulcea, 161053 NUFARU, Anul 2026, Numar persoane, 103
75-79 ani, Total, Tulcea, 161106 OSTROV, Anul 2026, Numar persoane, 72
75-79 ani, Total, Tulcea, 161133 PARDINA, Anul 2026, Numar persoane, 8
75-79 ani, Total, Tulcea, 161151 PECENEAGA, Anul 2026, Numar persoane, 82
75-79 ani, Total, Tulcea, 161179 SARICHIOI, Anul 2026, Numar persoane, 311
75-79 ani, Total, Tulcea, 161231 SFANTU GHEORGHE, Anul 2026, Numar persoane, 33
75-79 ani, Total, Tulcea, 161259 SLAVA CERCHEZA, Anul 2026, Numar persoane, 102
75-79 ani, Total, Tulcea, 161286 SMARDAN, Anul 2026, Numar persoane, 35
75-79 ani, Total, Tulcea, 161302 SOMOVA, Anul 2026, Numar persoane, 154
75-79 ani, Total, Tulcea, 161348 STEJARU, Anul 2026, Numar persoane, 52
75-79 ani, Total, Tulcea, 161384 TOPOLOG, Anul 2026, Numar persoane, 156
75-79 ani, Total, Tulcea, 161464 TURCOAIA, Anul 2026, Numar persoane, 131
75-79 ani, Total, Tulcea, 161543 VACARENI, Anul 2026, Numar persoane, 81
75-79 ani, Total, Tulcea, 161482 VALEA NUCARILOR, Anul 2026, Numar persoane, 134
75-79 ani, Total, Tulcea, 161561 VALEA TEILOR, Anul 2026, Numar persoane, 50
80-84 ani, Total, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2026, Numar persoane, 1325
80-84 ani, Total, Tulcea, 159650 ORAS BABADAG, Anul 2026, Numar persoane, 113
80-84 ani, Total, Tulcea, 159687 ORAS ISACCEA, Anul 2026, Numar persoane, 76
