Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Olt, 127224 GROJDIBODU, Anul 2026, Numar persoane, 176
65-69 ani, Total, Olt, 130339 GURA PADINII, Anul 2026, Numar persoane, 113
65-69 ani, Total, Olt, 127251 IANCA, Anul 2026, Numar persoane, 232
65-69 ani, Total, Olt, 127288 IANCU JIANU, Anul 2026, Numar persoane, 204
65-69 ani, Total, Olt, 127322 ICOANA, Anul 2026, Numar persoane, 98
65-69 ani, Total, Olt, 130348 IPOTESTI, Anul 2026, Numar persoane, 68
65-69 ani, Total, Olt, 127368 IZBICENI, Anul 2026, Numar persoane, 242
65-69 ani, Total, Olt, 127386 IZVOARELE, Anul 2026, Numar persoane, 135
65-69 ani, Total, Olt, 127411 LELEASCA, Anul 2026, Numar persoane, 66
65-69 ani, Total, Olt, 127493 MARUNTEI, Anul 2026, Numar persoane, 222
65-69 ani, Total, Olt, 127536 MIHAESTI, Anul 2026, Numar persoane, 83
65-69 ani, Total, Olt, 127563 MILCOV, Anul 2026, Numar persoane, 89
65-69 ani, Total, Olt, 127625 MORUNGLAV, Anul 2026, Numar persoane, 130
65-69 ani, Total, Olt, 127689 MOVILENI, Anul 2026, Numar persoane, 130
65-69 ani, Total, Olt, 127714 NICOLAE TITULESCU, Anul 2026, Numar persoane, 44
65-69 ani, Total, Olt, 127750 OBARSIA, Anul 2026, Numar persoane, 108
65-69 ani, Total, Olt, 127812 OBOGA, Anul 2026, Numar persoane, 97
65-69 ani, Total, Olt, 127858 OPORELU, Anul 2026, Numar persoane, 65
65-69 ani, Total, Olt, 127901 OPTASI-MAGURA, Anul 2026, Numar persoane, 51
65-69 ani, Total, Olt, 127938 ORLEA, Anul 2026, Numar persoane, 144
65-69 ani, Total, Olt, 130357 OSICA DE JOS, Anul 2026, Numar persoane, 66
65-69 ani, Total, Olt, 127983 OSICA DE SUS, Anul 2026, Numar persoane, 248
65-69 ani, Total, Olt, 128178 PARSCOVENI, Anul 2026, Numar persoane, 160
65-69 ani, Total, Olt, 128052 PERIETI, Anul 2026, Numar persoane, 96
65-69 ani, Total, Olt, 128221 PLESOIU, Anul 2026, Numar persoane, 183
65-69 ani, Total, Olt, 128301 POBORU, Anul 2026, Numar persoane, 100
65-69 ani, Total, Olt, 128436 PRISEACA, Anul 2026, Numar persoane, 103
65-69 ani, Total, Olt, 128472 RADOMIRESTI, Anul 2026, Numar persoane, 148
65-69 ani, Total, Olt, 128524 REDEA, Anul 2026, Numar persoane, 152
65-69 ani, Total, Olt, 128560 ROTUNDA, Anul 2026, Numar persoane, 144
65-69 ani, Total, Olt, 128588 RUSANESTI, Anul 2026, Numar persoane, 207
65-69 ani, Total, Olt, 128882 SAMBURESTI, Anul 2026, Numar persoane, 47
65-69 ani, Total, Olt, 130366 SARBII-MAGURA, Anul 2026, Numar persoane, 90
65-69 ani, Total, Olt, 128613 SCARISOARA, Anul 2026, Numar persoane, 134
65-69 ani, Total, Olt, 128659 SCHITU, Anul 2026, Numar persoane, 123
65-69 ani, Total, Olt, 128864 SEACA, Anul 2026, Numar persoane, 99
65-69 ani, Total, Olt, 129246 SERBANESTI, Anul 2026, Numar persoane, 124
65-69 ani, Total, Olt, 125374 SLATIOARA, Anul 2026, Numar persoane, 168
65-69 ani, Total, Olt, 130384 SOPARLITA, Anul 2026, Numar persoane, 80
65-69 ani, Total, Olt, 128962 SPINENI, Anul 2026, Numar persoane, 66
65-69 ani, Total, Olt, 129040 SPRANCENATA, Anul 2026, Numar persoane, 118
65-69 ani, Total, Olt, 129282 STEFAN CEL MARE, Anul 2026, Numar persoane, 118
65-69 ani, Total, Olt, 129095 STOENESTI, Anul 2026, Numar persoane, 110
65-69 ani, Total, Olt, 129111 STOICANESTI, Anul 2026, Numar persoane, 151
65-69 ani, Total, Olt, 129139 STREJESTI, Anul 2026, Numar persoane, 142
65-69 ani, Total, Olt, 129184 STUDINA, Anul 2026, Numar persoane, 164
65-69 ani, Total, Olt, 129317 TATULESTI, Anul 2026, Numar persoane, 67
65-69 ani, Total, Olt, 129380 TESLUI, Anul 2026, Numar persoane, 126
65-69 ani, Total, Olt, 129460 TIA MARE, Anul 2026, Numar persoane, 214
65-69 ani, Total, Olt, 129503 TOPANA, Anul 2026, Numar persoane, 35
65-69 ani, Total, Olt, 129567 TRAIAN, Anul 2026, Numar persoane, 150
65-69 ani, Total, Olt, 129585 TUFENI, Anul 2026, Numar persoane, 127
65-69 ani, Total, Olt, 129629 URZICA, Anul 2026, Numar persoane, 141
65-69 ani, Total, Olt, 129718 VADASTRA, Anul 2026, Numar persoane, 87
65-69 ani, Total, Olt, 129745 VADASTRITA, Anul 2026, Numar persoane, 176
