Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Suceava, 146655 ORAS SIRET, Anul 2026, Numar persoane, 553
65-69 ani, Total, Suceava, 146708 ORAS SOLCA, Anul 2026, Numar persoane, 143
65-69 ani, Total, Suceava, 151095 ORAS VICOVU DE SUS, Anul 2026, Numar persoane, 640
65-69 ani, Total, Suceava, 146799 ADANCATA, Anul 2026, Numar persoane, 162
65-69 ani, Total, Suceava, 146860 ARBORE, Anul 2026, Numar persoane, 314
65-69 ani, Total, Suceava, 146904 BAIA, Anul 2026, Numar persoane, 244
65-69 ani, Total, Suceava, 151530 BALACEANA, Anul 2026, Numar persoane, 65
65-69 ani, Total, Suceava, 146995 BALCAUTI, Anul 2026, Numar persoane, 140
65-69 ani, Total, Suceava, 151576 BERCHISESTI, Anul 2026, Numar persoane, 118
65-69 ani, Total, Suceava, 147036 BILCA, Anul 2026, Numar persoane, 170
65-69 ani, Total, Suceava, 147054 BOGDANESTI, Anul 2026, Numar persoane, 163
65-69 ani, Total, Suceava, 147072 BOROAIA, Anul 2026, Numar persoane, 165
65-69 ani, Total, Suceava, 147134 BOSANCI, Anul 2026, Numar persoane, 294
65-69 ani, Total, Suceava, 147161 BOTOSANA, Anul 2026, Numar persoane, 122
65-69 ani, Total, Suceava, 147205 BREAZA, Anul 2026, Numar persoane, 75
65-69 ani, Total, Suceava, 147241 BRODINA, Anul 2026, Numar persoane, 143
65-69 ani, Total, Suceava, 147465 BUNESTI, Anul 2026, Numar persoane, 118
65-69 ani, Total, Suceava, 151521 BURLA, Anul 2026, Numar persoane, 78
65-69 ani, Total, Suceava, 147526 CACICA, Anul 2026, Numar persoane, 185
65-69 ani, Total, Suceava, 147580 CALAFINDESTI, Anul 2026, Numar persoane, 113
65-69 ani, Total, Suceava, 151503 CAPU CAMPULUI, Anul 2026, Numar persoane, 121
65-69 ani, Total, Suceava, 147713 CARLIBABA, Anul 2026, Numar persoane, 103
65-69 ani, Total, Suceava, 151451 CIOCANESTI, Anul 2026, Numar persoane, 85
65-69 ani, Total, Suceava, 151567 CIPRIAN PORUMBESCU, Anul 2026, Numar persoane, 88
65-69 ani, Total, Suceava, 151433 COMANESTI, Anul 2026, Numar persoane, 110
65-69 ani, Total, Suceava, 147786 CORNU LUNCII, Anul 2026, Numar persoane, 298
65-69 ani, Total, Suceava, 151497 COSNA, Anul 2026, Numar persoane, 83
65-69 ani, Total, Suceava, 147884 CRUCEA, Anul 2026, Numar persoane, 96
65-69 ani, Total, Suceava, 147937 DARMANESTI, Anul 2026, Numar persoane, 324
65-69 ani, Total, Suceava, 148097 DOLHESTI, Anul 2026, Numar persoane, 162
65-69 ani, Total, Suceava, 148202 DORNA CANDRENILOR, Anul 2026, Numar persoane, 187
65-69 ani, Total, Suceava, 148131 DORNA-ARINI, Anul 2026, Numar persoane, 170
65-69 ani, Total, Suceava, 148293 DORNESTI, Anul 2026, Numar persoane, 190
65-69 ani, Total, Suceava, 148328 DRAGOIESTI, Anul 2026, Numar persoane, 119
65-69 ani, Total, Suceava, 148382 DRAGUSENI, Anul 2026, Numar persoane, 103
65-69 ani, Total, Suceava, 148426 DUMBRAVENI, Anul 2026, Numar persoane, 335
65-69 ani, Total, Suceava, 151488 FANTANA MARE, Anul 2026, Numar persoane, 146
65-69 ani, Total, Suceava, 148453 FANTANELE, Anul 2026, Numar persoane, 163
65-69 ani, Total, Suceava, 148514 FORASTI, Anul 2026, Numar persoane, 165
65-69 ani, Total, Suceava, 148667 FRATAUTII NOI, Anul 2026, Numar persoane, 249
65-69 ani, Total, Suceava, 148694 FRATAUTII VECHI, Anul 2026, Numar persoane, 236
65-69 ani, Total, Suceava, 148729 FRUMOSU, Anul 2026, Numar persoane, 208
65-69 ani, Total, Suceava, 148765 FUNDU MOLDOVEI, Anul 2026, Numar persoane, 203
65-69 ani, Total, Suceava, 148872 GALANESTI, Anul 2026, Numar persoane, 148
65-69 ani, Total, Suceava, 148916 GRAMESTI, Anul 2026, Numar persoane, 132
65-69 ani, Total, Suceava, 148970 GRANICESTI, Anul 2026, Numar persoane, 214
65-69 ani, Total, Suceava, 151512 HANTESTI, Anul 2026, Numar persoane, 150
65-69 ani, Total, Suceava, 151549 HARTOP, Anul 2026, Numar persoane, 89
65-69 ani, Total, Suceava, 149101 HORODNIC DE JOS, Anul 2026, Numar persoane, 109
65-69 ani, Total, Suceava, 151479 HORODNIC DE SUS, Anul 2026, Numar persoane, 206
65-69 ani, Total, Suceava, 149049 HORODNICENI, Anul 2026, Numar persoane, 172
65-69 ani, Total, Suceava, 149138 IACOBENI, Anul 2026, Numar persoane, 125
65-69 ani, Total, Suceava, 151442 IASLOVAT, Anul 2026, Numar persoane, 161
65-69 ani, Total, Suceava, 147660 ILISESTI, Anul 2026, Numar persoane, 141
65-69 ani, Total, Suceava, 146281 IPOTESTI, Anul 2026, Numar persoane, 367
65-69 ani, Total, Suceava, 149183 IZVOARELE SUCEVEI, Anul 2026, Numar persoane, 99
65-69 ani, Total, Suceava, 149316 MALINI, Anul 2026, Numar persoane, 318
65-69 ani, Total, Suceava, 149370 MANASTIREA HUMORULUI, Anul 2026, Numar persoane, 207
65-69 ani, Total, Suceava, 149290 MARGINEA, Anul 2026, Numar persoane, 425
65-69 ani, Total, Suceava, 146325 MITOCU DRAGOMIRNEI, Anul 2026, Numar persoane, 219
65-69 ani, Total, Suceava, 149414 MOARA, Anul 2026, Numar persoane, 261
65-69 ani, Total, Suceava, 149502 MOLDOVA-SULITA, Anul 2026, Numar persoane, 101
65-69 ani, Total, Suceava, 149539 MOLDOVITA, Anul 2026, Numar persoane, 240
65-69 ani, Total, Suceava, 149584 MUSENITA, Anul 2026, Numar persoane, 96
65-69 ani, Total, Suceava, 149655 OSTRA, Anul 2026, Numar persoane, 137
65-69 ani, Total, Suceava, 149753 PALTINOASA, Anul 2026, Numar persoane, 294
65-69 ani, Total, Suceava, 149682 PANACI, Anul 2026, Numar persoane, 128
65-69 ani, Total, Suceava, 149780 PARTESTII DE JOS, Anul 2026, Numar persoane, 139
65-69 ani, Total, Suceava, 149833 PATRAUTI, Anul 2026, Numar persoane, 190
65-69 ani, Total, Suceava, 149851 POIANA STAMPEI, Anul 2026, Numar persoane, 120
65-69 ani, Total, Suceava, 151585 POIENI-SOLCA, Anul 2026, Numar persoane, 97
65-69 ani, Total, Suceava, 149931 POJORATA, Anul 2026, Numar persoane, 164
65-69 ani, Total, Suceava, 149968 PREUTESTI, Anul 2026, Numar persoane, 268
65-69 ani, Total, Suceava, 150043 PUTNA, Anul 2026, Numar persoane, 184
65-69 ani, Total, Suceava, 150070 RADASENI, Anul 2026, Numar persoane, 201
65-69 ani, Total, Suceava, 150114 RASCA, Anul 2026, Numar persoane, 217
65-69 ani, Total, Suceava, 150178 SADOVA, Anul 2026, Numar persoane, 132
65-69 ani, Total, Suceava, 150445 SARU DORNEI, Anul 2026, Numar persoane, 230
65-69 ani, Total, Suceava, 150196 SATU MARE, Anul 2026, Numar persoane, 162
65-69 ani, Total, Suceava, 146432 SCHEIA, Anul 2026, Numar persoane, 626
65-69 ani, Total, Suceava, 151460 SERBAUTI, Anul 2026, Numar persoane, 131
65-69 ani, Total, Suceava, 150221 SIMINICEA, Anul 2026, Numar persoane, 100
65-69 ani, Total, Suceava, 150258 SLATINA, Anul 2026, Numar persoane, 244
65-69 ani, Total, Suceava, 150294 STRAJA, Anul 2026, Numar persoane, 252
65-69 ani, Total, Suceava, 150310 STROIESTI, Anul 2026, Numar persoane, 166
65-69 ani, Total, Suceava, 150356 STULPICANI, Anul 2026, Numar persoane, 313
65-69 ani, Total, Suceava, 150418 SUCEVITA, Anul 2026, Numar persoane, 135
