Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
65-69 ani, Total, Brasov, 41738 RECEA, Anul 2026, Numar persoane, 204
65-69 ani, Total, Brasov, 42464 SAMBATA DE SUS, Anul 2026, Numar persoane, 100
65-69 ani, Total, Brasov, 41925 SANPETRU, Anul 2026, Numar persoane, 597
65-69 ani, Total, Brasov, 41818 SERCAIA, Anul 2026, Numar persoane, 146
65-69 ani, Total, Brasov, 41854 SINCA, Anul 2026, Numar persoane, 166
65-69 ani, Total, Brasov, 42449 SINCA NOUA, Anul 2026, Numar persoane, 93
65-69 ani, Total, Brasov, 41943 SOARS, Anul 2026, Numar persoane, 105
65-69 ani, Total, Brasov, 42003 TARLUNGENI, Anul 2026, Numar persoane, 539
65-69 ani, Total, Brasov, 42058 TELIU, Anul 2026, Numar persoane, 171
65-69 ani, Total, Brasov, 42076 TICUSU, Anul 2026, Numar persoane, 48
65-69 ani, Total, Brasov, 42101 UCEA, Anul 2026, Numar persoane, 112
65-69 ani, Total, Brasov, 42156 UNGRA, Anul 2026, Numar persoane, 87
65-69 ani, Total, Brasov, 42183 VAMA BUZAULUI, Anul 2026, Numar persoane, 172
65-69 ani, Total, Brasov, 42236 VISTEA, Anul 2026, Numar persoane, 119
65-69 ani, Total, Brasov, 42307 VOILA, Anul 2026, Numar persoane, 178
65-69 ani, Total, Brasov, 42398 VULCAN, Anul 2026, Numar persoane, 248
70-74 ani, Total, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2026, Numar persoane, 19789
70-74 ani, Total, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2026, Numar persoane, 1391
70-74 ani, Total, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2026, Numar persoane, 2216
70-74 ani, Total, Brasov, 40438 MUNICIPIUL SACELE, Anul 2026, Numar persoane, 1933
70-74 ani, Total, Brasov, 40214 ORAS GHIMBAV, Anul 2026, Numar persoane, 375
70-74 ani, Total, Brasov, 40303 ORAS PREDEAL, Anul 2026, Numar persoane, 306
70-74 ani, Total, Brasov, 40367 ORAS RASNOV, Anul 2026, Numar persoane, 1125
70-74 ani, Total, Brasov, 40394 ORAS RUPEA, Anul 2026, Numar persoane, 341
70-74 ani, Total, Brasov, 40465 ORAS VICTORIA, Anul 2026, Numar persoane, 488
70-74 ani, Total, Brasov, 40492 ORAS ZARNESTI, Anul 2026, Numar persoane, 1437
70-74 ani, Total, Brasov, 40526 APATA, Anul 2026, Numar persoane, 113
70-74 ani, Total, Brasov, 42498 AUGUSTIN, Anul 2026, Numar persoane, 28
70-74 ani, Total, Brasov, 40544 BECLEAN, Anul 2026, Numar persoane, 113
70-74 ani, Total, Brasov, 40606 BOD, Anul 2026, Numar persoane, 243
70-74 ani, Total, Brasov, 40633 BRAN, Anul 2026, Numar persoane, 295
70-74 ani, Total, Brasov, 40688 BUDILA, Anul 2026, Numar persoane, 123
70-74 ani, Total, Brasov, 40704 BUNESTI, Anul 2026, Numar persoane, 81
70-74 ani, Total, Brasov, 40768 CATA, Anul 2026, Numar persoane, 104
70-74 ani, Total, Brasov, 40820 CINCU, Anul 2026, Numar persoane, 68
70-74 ani, Total, Brasov, 40857 COMANA, Anul 2026, Numar persoane, 96
70-74 ani, Total, Brasov, 40900 CRISTIAN, Anul 2026, Numar persoane, 353
70-74 ani, Total, Brasov, 42456 CRIZBAV, Anul 2026, Numar persoane, 105
70-74 ani, Total, Brasov, 42480 DRAGUS, Anul 2026, Numar persoane, 57
70-74 ani, Total, Brasov, 40928 DUMBRAVITA, Anul 2026, Numar persoane, 256
70-74 ani, Total, Brasov, 40955 FELDIOARA, Anul 2026, Numar persoane, 333
70-74 ani, Total, Brasov, 40991 FUNDATA, Anul 2026, Numar persoane, 48
70-74 ani, Total, Brasov, 41033 HALCHIU, Anul 2026, Numar persoane, 291
70-74 ani, Total, Brasov, 41088 HARMAN, Anul 2026, Numar persoane, 390
70-74 ani, Total, Brasov, 41113 HARSENI, Anul 2026, Numar persoane, 149
70-74 ani, Total, Brasov, 41177 HOGHIZ, Anul 2026, Numar persoane, 230
70-74 ani, Total, Brasov, 42472 HOLBAV, Anul 2026, Numar persoane, 51
70-74 ani, Total, Brasov, 41248 HOMOROD, Anul 2026, Numar persoane, 115
70-74 ani, Total, Brasov, 41284 JIBERT, Anul 2026, Numar persoane, 97
70-74 ani, Total, Brasov, 41346 LISA, Anul 2026, Numar persoane, 107
70-74 ani, Total, Brasov, 41382 MAIERUS, Anul 2026, Numar persoane, 120
70-74 ani, Total, Brasov, 41417 MANDRA, Anul 2026, Numar persoane, 186
70-74 ani, Total, Brasov, 41471 MOIECIU, Anul 2026, Numar persoane, 247
70-74 ani, Total, Brasov, 41541 ORMENIS, Anul 2026, Numar persoane, 88
70-74 ani, Total, Brasov, 41578 PARAU, Anul 2026, Numar persoane, 94
70-74 ani, Total, Brasov, 41621 POIANA MARULUI, Anul 2026, Numar persoane, 149
70-74 ani, Total, Brasov, 41667 PREJMER, Anul 2026, Numar persoane, 483
70-74 ani, Total, Brasov, 41701 RACOS, Anul 2026, Numar persoane, 111
70-74 ani, Total, Brasov, 41738 RECEA, Anul 2026, Numar persoane, 184
70-74 ani, Total, Brasov, 42464 SAMBATA DE SUS, Anul 2026, Numar persoane, 99
70-74 ani, Total, Brasov, 41925 SANPETRU, Anul 2026, Numar persoane, 483
70-74 ani, Total, Brasov, 41818 SERCAIA, Anul 2026, Numar persoane, 145
70-74 ani, Total, Brasov, 41854 SINCA, Anul 2026, Numar persoane, 174
70-74 ani, Total, Brasov, 42449 SINCA NOUA, Anul 2026, Numar persoane, 78
70-74 ani, Total, Brasov, 41943 SOARS, Anul 2026, Numar persoane, 69
70-74 ani, Total, Brasov, 42003 TARLUNGENI, Anul 2026, Numar persoane, 474
70-74 ani, Total, Brasov, 42058 TELIU, Anul 2026, Numar persoane, 168
70-74 ani, Total, Brasov, 42076 TICUSU, Anul 2026, Numar persoane, 23
70-74 ani, Total, Brasov, 42101 UCEA, Anul 2026, Numar persoane, 137
70-74 ani, Total, Brasov, 42156 UNGRA, Anul 2026, Numar persoane, 58
70-74 ani, Total, Brasov, 42183 VAMA BUZAULUI, Anul 2026, Numar persoane, 164
70-74 ani, Total, Brasov, 42236 VISTEA, Anul 2026, Numar persoane, 137
70-74 ani, Total, Brasov, 42307 VOILA, Anul 2026, Numar persoane, 175
70-74 ani, Total, Brasov, 42398 VULCAN, Anul 2026, Numar persoane, 234
75-79 ani, Total, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2026, Numar persoane, 11766
75-79 ani, Total, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2026, Numar persoane, 814
75-79 ani, Total, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2026, Numar persoane, 1486
75-79 ani, Total, Brasov, 40438 MUNICIPIUL SACELE, Anul 2026, Numar persoane, 1140
75-79 ani, Total, Brasov, 40214 ORAS GHIMBAV, Anul 2026, Numar persoane, 227
75-79 ani, Total, Brasov, 40303 ORAS PREDEAL, Anul 2026, Numar persoane, 221
75-79 ani, Total, Brasov, 40367 ORAS RASNOV, Anul 2026, Numar persoane, 622
75-79 ani, Total, Brasov, 40394 ORAS RUPEA, Anul 2026, Numar persoane, 233
75-79 ani, Total, Brasov, 40465 ORAS VICTORIA, Anul 2026, Numar persoane, 276
75-79 ani, Total, Brasov, 40492 ORAS ZARNESTI, Anul 2026, Numar persoane, 859
75-79 ani, Total, Brasov, 40526 APATA, Anul 2026, Numar persoane, 64
75-79 ani, Total, Brasov, 42498 AUGUSTIN, Anul 2026, Numar persoane, 31
75-79 ani, Total, Brasov, 40544 BECLEAN, Anul 2026, Numar persoane, 71
75-79 ani, Total, Brasov, 40606 BOD, Anul 2026, Numar persoane, 170
75-79 ani, Total, Brasov, 40633 BRAN, Anul 2026, Numar persoane, 246
75-79 ani, Total, Brasov, 40688 BUDILA, Anul 2026, Numar persoane, 73
75-79 ani, Total, Brasov, 40704 BUNESTI, Anul 2026, Numar persoane, 70
75-79 ani, Total, Brasov, 40768 CATA, Anul 2026, Numar persoane, 74
75-79 ani, Total, Brasov, 40820 CINCU, Anul 2026, Numar persoane, 52
75-79 ani, Total, Brasov, 40857 COMANA, Anul 2026, Numar persoane, 85
75-79 ani, Total, Brasov, 40900 CRISTIAN, Anul 2026, Numar persoane, 221
75-79 ani, Total, Brasov, 42456 CRIZBAV, Anul 2026, Numar persoane, 56
