Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Cabinete medicale de familie, Proprietate privata, Mehedinti, 112030 GRUIA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 112076 HINOVA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 112129 HUSNICIOARA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 112263 ILOVAT, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 112370 ISVERNA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate privata, Mehedinti, 112469 IZVORU BARZII, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Mehedinti, 112548 JIANA, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Mehedinti, 112600 LIVEZILE, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 112664 MALOVAT, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 112744 OBARSIA DE CAMP, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate privata, Mehedinti, 112771 OPRISOR, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 112879 PATULELE, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Mehedinti, 112995 PONOARELE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113153 POROINA MARE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113206 PRISTOL, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113233 PRUNISOR, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113395 PUNGHINA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113466 ROGOVA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113493 SALCIA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Mehedinti, 109826 SIMIAN, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113625 SISESTI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113698 SOVARNA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113518 STANGACEAUA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113607 SVINITA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113732 TAMNA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113849 VANATORI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113894 VANJULET, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate privata, Mehedinti, 113974 VOLOIAC, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate publica, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate publica, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 109924 ORAS BAIA DE ARAMA, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 110116 ORAS STREHAIA, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 110232 ORAS VANJU MARE, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 110571 BACLES, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 110296 BALA, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 110535 BALACITA, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 110456 BALTA, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 111275 CORCOVA, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 111444 CUJMIR, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 111685 FLORESTI, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 111783 GARLA MARE, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 111863 GOGOSU, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 112030 GRUIA, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 112548 JIANA, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 112664 MALOVAT, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 112879 PATULELE, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 113466 ROGOVA, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 113493 SALCIA, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate publica, Mehedinti, 109826 SIMIAN, Anul 2024, Numar, 0
Cabinete stomatologice, Proprietate privata, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 102
Cabinete stomatologice, Proprietate privata, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2024, Numar, 7
Cabinete stomatologice, Proprietate privata, Mehedinti, 109924 ORAS BAIA DE ARAMA, Anul 2024, Numar, 1
